 Time 0.00000000  [reference_trajectory]  x 0.00000000   y 0.00000000   yaw 2.35602094   v 0.00000000   w 0.00000000   t 0.00000000
 Time 0.05000000  [reference_trajectory]  x 0.00000000   y 0.00000000   yaw 2.35602094   v 1.30000000   w 0.86666667   t 0.05000000
 Time 0.10000000  [reference_trajectory]  x -0.04595396   y 0.04596992   yaw 2.39935428   v 1.30313953   w 0.86875968   t 0.10000000
 Time 0.15000000  [reference_trajectory]  x -0.09397188   y 0.09001207   yaw 2.44279226   v 1.30626666   w 0.87084444   t 0.15000000
 Time 0.20000000  [reference_trajectory]  x -0.14397671   y 0.13202812   yaw 2.48633448   v 1.30936907   w 0.87291271   t 0.20000000
 Time 0.25000000  [reference_trajectory]  x -0.19588603   y 0.17192224   yaw 2.52998012   v 1.31243449   w 0.87495633   t 0.25000000
 Time 0.30000000  [reference_trajectory]  x -0.24961206   y 0.20960147   yaw 2.57372793   v 1.31545085   w 0.87696723   t 0.30000000
 Time 0.35000000  [reference_trajectory]  x -0.30506169   y 0.24497612   yaw 2.61757630   v 1.31840623   w 0.87893749   t 0.35000000
 Time 0.40000000  [reference_trajectory]  x -0.36213659   y 0.27796011   yaw 2.66152317   v 1.32128896   w 0.88085931   t 0.40000000
 Time 0.45000000  [reference_trajectory]  x -0.42073330   y 0.30847137   yaw 2.70556614   v 1.32408768   w 0.88272512   t 0.45000000
 Time 0.50000000  [reference_trajectory]  x -0.48074340   y 0.33643220   yaw 2.74970239   v 1.32679134   w 0.88452756   t 0.50000000
 Time 0.55000000  [reference_trajectory]  x -0.54205368   y 0.36176968   yaw 2.79392877   v 1.32938926   w 0.88625951   t 0.55000000
 Time 0.60000000  [reference_trajectory]  x -0.60454635   y 0.38441598   yaw 2.83824174   v 1.33187120   w 0.88791413   t 0.60000000
 Time 0.65000000  [reference_trajectory]  x -0.66809931   y 0.40430880   yaw 2.88263745   v 1.33422736   w 0.88948490   t 0.65000000
 Time 0.70000000  [reference_trajectory]  x -0.73258639   y 0.42139162   yaw 2.92711170   v 1.33644843   w 0.89096562   t 0.70000000
